转债代码,转债名称,股票代码,股票名称,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌.1,剩余本息,转股价格,转股溢价率,转股价值,距离转股日,剩余年限,回售年限,转债余额,转债成交额,转债换手率,余额/市值,余额/股本,股票市值,P/B,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,弹性,信用,折现率,老式双低,老式排名,新式双低,新式排名,热门度,日期
113602,景20转债!,603228,景旺电子,电子,元器件制造,117.684,-0.02%,-0.13%,20.46,-0.53%,112.3,27.1,55.90%,75.5,已到,3.84年,1.84年,17.8,3.3,0.20%,10.30%,7.80%,173,2.41,-1.24%,-1.81%,-6.56%,-6.81%,95.46,97.63,0.29,AA,3.79%,159.9,216,62.2,198,9,2022/10/21
113039,嘉泽转债!!,601619,嘉泽新能,能源电力,风能,134.454,0.62%,-0.14%,3.95,0.77%,112.3,3.36,14.40%,117.56,已到,3.84年,1.84年,2.88,52,13.40%,3.00%,3.50%,96,1.76,-4.66%,-5.20%,-10.30%,-10.40%,95.46,97.63,0.63,AA,3.79%,151.3,124,53.7,118,31,2022/10/21
113601,塞力转债!,603716,塞力医疗,医药,医药商业,110.925,0.06%,-0.01%,10.78,0.19%,120,16.98,74.70%,63.49,已到,3.83年,1.83年,5.43,4.2,0.70%,24.70%,15.70%,22,1.52,2.12%,1.19%,-3.70%,-3.97%,91.88,96.8,0.26,AA-,5.89%,158.4,199,61.6,191,46,2022/10/21
128128,齐翔转2!,2408,齐翔腾达,化工,化工,135.644,-1.06%,0.79%,7.05,-0.42%,114.4,5.69,9.50%,123.9,已到,3.83年,1.83年,6.8,50,5.40%,3.40%,4.20%,200,1.47,-4.43%,-5.06%,-10.60%,-10.80%,95.52,99.49,0.65,AA,3.79%,147.4,92,47.9,85,21,2022/10/21
128127,文科转债!,2775,文科园林,城市公用设施,生态环境建设,107.419,0.13%,-0.01%,3.7,0.27%,120,4.88,41.70%,75.82,已到,3.83年,1.83年,9.49,4.9,0.50%,50.00%,37.90%,19,5.16,3.00%,2.06%,-2.13%,-2.41%,90.03,93.14,0.42,A+,6.99%,139,39,45.9,73,75,2022/10/21
110074,精达转债!!,600577,精达股份,电子,电子产品,142.33,-0.75%,0.61%,4.48,-0.22%,116.3,3.7,17.50%,121.08,已到,3.82年,1.82年,5.1,95,13.00%,5.70%,6.90%,89,1.98,-5.23%,-5.93%,-12.30%,-12.50%,95.51,101.14,0.63,AA,3.79%,163.6,254,62.4,199,10,2022/10/21
110072,广汇转债!,600297,广汇汽车,汽车,分销、售后及租赁,97.341,0.05%,-0.10%,2.17,-0.46%,113.9,4.03,80.80%,53.85,已到,3.82年,1.82年,33.7,14,0.40%,19.10%,10.30%,176,0.42,4.27%,3.57%,2.59%,2.35%,96.05,100.85,0.12,AA+,3.29%,140.8,48,40,37,92,2022/10/21
113600,新星转债!,603978,深圳新星,有色金属,有色行业,122.507,-0.55%,-0.08%,21.31,-1.43%,125,23.85,37.10%,89.35,已到,3.81年,1.81年,4.53,14,2.50%,12.80%,11.40%,35,2.09,0.54%,-0.55%,-8.49%,-8.75%,91.99,100.95,0.45,AA-,5.89%,155.7,167,54.7,126,22,2022/10/21
127021,特发转2!,70,特发信息,通信互联网,通信设备及工程,121.2,-0.16%,0.33%,6.29,0.48%,112.5,7.33,41.20%,85.81,已到,2.79年,0.79年,4.16,5.3,1.10%,7.80%,6.70%,53,2.92,-2.66%,-3.45%,-17.30%,-17.50%,97.9,102.1,0.36,AA,3.58%,156.6,177,54.5,123,19,2022/10/21
113598,法兰转债!,603966,法兰泰克,机械装备制造,工程机械,147.512,-0.29%,1.30%,13.19,1.38%,120,9.48,6.00%,139.14,已到,3.77年,1.77年,2.75,86,21.10%,6.90%,9.70%,40,3.13,-5.42%,-6.26%,-13.90%,-14.10%,92.18,97.12,0.73,AA-,5.89%,155.9,170,58.8,162,19,2022/10/21
